name,description,latitude,longitude,max_occupancy,num_bathrooms,num_bedrooms,num_beds,price,comment1,comment2,comment3
Creative Sanctuary,"The spaceWe live in a large Victorian house on a quiet street, nestled between the Mission district and Noe Valley. We're one block from the streetcar stop and five blocks from the subway. We have three bedrooms, two of which have double beds and windows which cast their light upon the high, warm colored walls and ceilings of this haven. We have lots of spaces in the house where you can relax, read, listen to music and just cozy up. The kitchen is well stocked and we have a bountiful garden and back deck.   Amenities include: Laundry, wireless, sun room, garden, sun deck and a full kitchen. We also have a library (not perfectly organized but filled with great books).  We both are self employed creatives. I own a business involved in art and design and Tania is an arts journalist. We enjoy meeting people and are well versed in the art and design communities of the Bay Area. We also know some really good haunts.Guest accessOur",37.74511,-122.42102,5,1,2,3,$235.00 ,"We travelled to Fort Lauderdale for work/pleasure on very short notice.  Karim was very helpful throughout the reservation process and also assisted us once we had arrived.  The unit that we rented was perfect for our needs.  It provided us with a small, clean kitchenette that allowed us to have some of our meals ""at home"" rather than having to eat each meal out.  The unit had a beautiful balcony that provided a nice view of the beach across the street.  The amenities were available to us as well, and we enjoyed the pool and fitness center.  Would highly recommend the unit.  Space is ideal for a couple, however, there is enough room for 4 comfortably.  This would require 2 to sleep in the king bed in the bedroom and 2 to sleep on the pull out sofa.  No sleeping complaints from my teenage children.",It was my first AirBnB experience and it was a good one.  Exactly as described and accurate.,Place is exactly as the pictures. Great views of the water. Nice building (combo hotels/condos) with a good pool area
A Friendly Room - UCSF/USF - San Francisco,"Nice and good public transportation.  7 minutes walk to UCSF.  15 minutes walk to USF, ST Mary Hospital Room rental-sunny view room/sink/Wi Fi (inner sunset / UCSF) (map)The place is located within walking distance to Golden Gate Park, UCSF &  USFThe spaceSettle down, S.F. resident, student, hospital, job relocated, rotation. Monthly rental, short term staying - Nice public transportation location. No tourist or transient.  No pet no smoking no party inside the building.Medium private lock room(130 square feet) single person. Large private lock room(190 square feet) single person.Extra large private room(230 square feet)  single person.Additional bed $12 per night.Surround by sunny view and good transportation. Room with sink(apartment style - shared large eat in kitchen/2 full & 2 half  bathrooms). Quiet house under management. Wa",37.76555,-122.45213,2,4,1,1,$56.00 ,Karim was very accommodating and the house was lovely.  The place had the perfect mix of pool and beach.  I would recommend Karim's suite to any of my friends.  ,"The apartment was advertised just as the photos.. great location, great hotel.  Karim was very accomodating and responsive to any questions I had.  I would highly recommend this unit and would return again in the future.","The apartment is just perfect! 
The beach and restaurants are close by so that everything is in walking distance :-) And the view from the balcony is amazing! 
At the back of the hotel there is another small apartment block where you can get a cheap parking place :-)

Many thanks again for the great time at your apartment Karim! "
Friendly Room Apt. Style -UCSF/USF - San Francisco,"Nice and good public transportation.  7 minutes walk to UCSF.  15 minutes walk to USF, ST Mary Hospital Room rental-sunny view room/sink/Wi Fi (inner sunset / UCSF) (map)The place is located within walking distance to Golden Gate Park, UCSF &  USFThe spaceSettle down, S.F. resident, student, hospital, job relocated, rotation. Monthly rental, short term staying - Nice public transportation location. No tourist or transient.  No pet no smoking no party inside the building.Medium private lock room(130 square feet) single person. Large private lock room(190 square feet) single person.Extra large private room(230 square feet)  single person.Additional bed $12 per night.Surround by sunny view and good transportation. Room with sink(apartment style - shared large eat in kitchen/2 full & 2 half  bathrooms). Quiet house under management. Wa",37.76555,-122.45213,2,4,1,1,$56.00 ,Wonderful Stay!!!,My wife and I stayed at Karims condo for two weeks.  Everything was perfect.  We enjoyed our stay and look forward to visiting again.,"Great location, wonderful view of the beach. Easy check in, and friendly staffs of the resort. We really enjoyed our stay."
Historic Alamo Square Victorian,"Pls email before booking. Interior featured in magazines. Listed historic with the City of SF. Steps away from the iconic Alamo Square ""Painted Ladies"".The spacePlease send us a quick message before booking :) Victorian flat in Queen Ann Victorian. Interior featured in magazines. Listed historic with the City of San Francisco. Steps away from the iconic Alamo Square ""Painted Ladies"" postcard panorama. Tour buses pause. This spacious sunny apartment is well known by local photographers for its ambiance and beautiful natural light. (Rental does not imply permission for commercial photography use) Centrally located close to public transport, top restaurants, shops, arts and entertainment near NOPA/Alamo square/Haight/Hayes. 2 blocks away from public transpo.Safe walkable neighborhood. Authentic Updated Victorian experience. This Queen Anne Victorian was built by a noted Victorian a",37.77525,-122.43637,4,1.5,2,2,$750.00 ,"Perfect apartment in a Hilton apartment hotel. Nice and clean, magnificent view. Jaccuzi, high standard, kitchen with everything you need. Couldn't with more than that. Highly recommended if you don't want to pay more and do not need housekeeping. ",The condo was perfect. Just as described. Hotel staff were great. Perfect location. Great pool and access to ocean. Would recommend   Tks Karim ,"This is a great spot! We loved our stay at Karim's. The views were beautiful, the unit was very comfortable, well stocked and well maintained. Karim was a very responsive and well organized host, and he made it possible for us to have a great week. The location is fantastic, you step out of the building, cross the road and you are on the beach. The location is central, easy to get around and next to many coffee shops and restaurants. I'd highly recommend this spot. The photos are accurate, but the views are even better in person. "
"Mission Sunshine, with Private Bath","Welcome to ""The Mission,"" the sunniest neighborhood in town. Enjoy world-class dining, shopping, and nightlife on Valencia, or a Tartine picnic in Dolores Park, all just steps from our 100 year old home. We've been Hosts since Airbnb's 1st year (2009), and can suggest restaurants or insider sight-seeing ideas. We love our home, our hometown, and our neighborhood, and we look forward to sharing them with you.PLEASE click below to read more about this private room and bath in a shared home.The spaceYour sunny room looks out over a lush garden, and includes all the comforts of home... Queen bed, sofa, dresser, closet, and a rocking chair. Just up the hall, your private bathroom has a ""like rain"" shower head over a clawfoot tub. (The bathroom is not ""en-suite."")For a third guest (or for two guests who want separate beds) there is a full second bedroom available. ($60/night, and only available if you book Mission Sunshine.)<",37.7603,-122.42197,3,1,1,1,$169.00 ,"Loved it. Exactly the way it was described. It is also within walking distance to a Publix grocery store, and if you don't want to carry the bags back you can take the Sun Trolley for $1. Overall we had a fantastic time and would love to come back again. ","Karim was more than helpful with our stay, and I would definitely connect again for a future stay.",We enjoyed our stay in Karim's place!! Everything was as described. Beautiful view. Spacious rooms. Fool kitchen. Definitely will stay again!! 
Artful Potrero Separate Floor with Garden,"A Unique Guest Suite!A Spacious  Art Filled  Space [800 sq.ft., 12 ft.ceilings]on a SEPARATE floor from hosts quarters, own bedroom, Queen  Real Bed, own bathroom, kitchenette, and office. Access to a city view garden for morning coffee or relaxing.Sleeps 2. Non- Smokers  Only No VapingFree Street Parking, Car can be left all day without moving. Convenient to all Bay Area attractions. Access to Highway 101 or 280 is less than 5 minutes.Mission and Dogpatch neighborhoods a 10-minute walk.The spaceIt is unique, very spacious  [800 sq. ft. with 12 ft. ceilings] with separate bedroom, Queen size real bed,  high-end mattress. Leather sofa, own bathroom, kitchenette, and office area. Equipped with linens, sheets, blankets, robes, television, secure upgraded Wireless Internet, coffee maker, refrigerator, hotplate, microwave, hairdryer, iron and includes utilities. Laundry access and kitchen privileges can be arranged. Th",37.76259,-122.40543,2,1,1,1,$150.00 ,A fantastic room!!! Thanks!!,"Denna lägenhet ligger perfekt för en lyckad Ft Lauderdale semester. Fantastisk utsikt över havet. Rent och funktionsdugligt. Parkering är en utmaning, men finns i området (gatuparkering).","This condo is definitely only comfortable for two people.  The unit is tight for a family even though it can sleep four.  There is no table to sit at for meals.
The unit was dusty and the hotel was not as clean as others that I have experienced.  Valet parking was $40.00/day.  We managed to rent a parking space from Fortuna rentals for $20.00/day located across the hotel.  The view from the balcony was nice but I would not rate this condominium as luxuries as described."
Victorian Suite in Inner Mission,"The spacePlease read this before you book!Second floor Suite, fully furnished with lovely colors and furniture throughout. The suite is a section of our Victorian home reserved for our guests' exclusive use. Sleeps up to 6: Queen bed, trundle bed (makes two singles), and sofa bed.Features: * Hardwood floors and Victorian details throughout * Working fireplace * *High ceilings and lots of natural light * Large open kitchen, dining & living area * New dishwasher, new stove, new refrigerator, fully stocked with kitchenware *  Flat screen TV, wireless Internet * Master bedroom with queen bed and walk in closet * Second bedroom with trundle bed and small desk * Full bath with large tub * Beautiful garden* Rates: $4,000 per monthCleaning fee of $100.$500 Security deposit required, payable through Airbnb. It will be returned within 48 hours of guest's departure, provided there is no damage, abuse, breakage, or missing items. <",37.75831,-122.41386,4,1,2,3,$200.00 ,We had a great visit... just what we expected!,"This was a nice place to spend a week for our vacation.  We appreciated the option of going to the beach or to the pool. 

This space is on the 21st floor of a Hilton high-rise and is privately owned.  I am glad we read the fine print because when we arrived, the front desk wasn't able to find our reservation.  We found another email with instructions and we were able to get checked in. 

Parking is a serious issue if you don't want to pay $35.00 per night.  The listing explains there is another hotel nearby with a cheaper option; however, it is closed for construction.  There is street parking but it is limited to 4 hour blocks for 24 hours.
",The place is located in a great area wonderful beaches shopping. High quality apartment.
Classic Nob Hill Studio - Roof Deck,"A cute studio with nice street views and lots of light and easy access to a shared roof deck with awesome Golden Gate views. Great, classic ""Old Frisco"" neighborhood.New double-pane windows help keep out the sounds of the city.The spaceFeatures:  Elevator, Wood floors, TV, DVD Player, Internet, Cable, Roof-top deck. Kitchen: Stove, Microwave, Coffee maker, Toaster, Oven, Pots and Pans, Dishwasher, Dishes. Beds: 1 Double bed(s). Extras: Dryer, Washer, Towels, Toilet paper. Charming studio located in residential and undeniably charming Nob Hill, San Francisco's most desirable destination. One block from Grace Cathedral and easy walking distance to famous Union Square shopping, the theatre district, Chinatown, and Fishermen's Wharf. Or hop on a cable car or grab a bus on the corner. Rather stay local? Walk over to Huntington Park or check out the neighborhood's many bars, bistros, and ea",37.79143,-122.41544,2,1,1,1,$120.00 ,A fantastic room!!! Thanks!!,"Great Condo and Fantastic location. We had a super stay and can recommend the place to others.

",Pictures say it all. This place was amazing! Can't wait to come back. Huge plus having 2 beach chairs in the room to use.
Zen-East in the Heart of Austin (monthly rental),"Zen East is situated in a vibrant & diverse multicultural neighborhood, within walking distance of many great restaurants, cafes, performance/art spaces, UT campus, downtown & just a few miles from a beautiful trail ~ Ladybird Lake.NOTE: As of 1/20/18, new home construction with intermittent noise is happening at lot next door typically b/w hours of 8 - 5:30 pm. Exterior is 90% complete.The spaceThis colorful and clean 1923 house was completely remodeled in 2004. The house is a 2BR/ 2BA (1350 sq') with a pillow top queen bed in the large master with full private bath and a double futon bed (floor level) in an office which converts to a small guest room adjacent to a full bathroom in the hallway. The following amenities are included: CACH, WIFI, HDTV, washer/dryer, fully equipped kitchen, street parking, fenced back yard with semi privacy fence/deck and front yard with covered porch, pecan, crepe myrtle and other trees provide shade and floral displa",30.2775,-97.71398,4,2,2,2,$179.00 ,"What a great experience, What a great place!  We had a fantastic time at Karim's place.  The view was fabulous and the entire process was without one issue.  We spent our days at the pool and beach.  Thats it! thats all we needed.  The staff at the hotel were super friendly and accommodating.  Will most definitely do it again!",The host had been helpful. His contact assisted with finding cheaper parking right across from the hotel as parking at the hotel is valet only and can add35-40 a night. Staff working at hotel is great.,"Great place! Very clean! Such a great location - walking distance to beach/shops and great food. Only complaint is that there's no phone in the room, so you can't call ahead for the valet to get your car and it takes about 10 minutes for them to get it."
"Eco friendly, Colorful, Clean, Cozy monthly share","Situated in a vibrant & diverse multicultural neighborhood & within walking distance of many great restaurants, cafes, performance/art spaces, UT campus, downtown & just a few miles from a beautiful trail ~ Ladybird Lake.The spaceThis green, colorful, clean and cozy house was built in 1923 and remodeled in 2004. As the homeowner, I've taken the liberty to paint each room a different color. The house has plenty of light, shade trees, a fenced back yard and deck, a front porch for sitting with simple landscaping. Conveniently located in central east Austin, you are: 1 - 2 miles from the University of Texas, Downtown & the Austin Convention Center. You'll find yourself near local cafes and restaurants (Eastside, El Chile, Blue Dahlia, Eastside Pies, Bennu, Salty Sow, Farmacie, Dai Due, Justine's and much more). You're ~ 3 miles from Wheatsville Food Coop, Whole Foods (downtown), Central Market & the Lady Bird Lake trail.  Just a 5 minute wa",30.27577,-97.71379,2,1,1,2,$114.00 ,"My husband and I enjoyed our stay in Ft. Lauderdale. Prior to our departure Karim walked me through the reservation process and promptly answered my questions, as this was my first experience reserving with Airbnb. The photos posted represented the condo accurately. It was clean with a nice size bathroom providing two sinks, shower, and jaccuzzi-type bathtub. As assured,the kitchenette was fully equipped. We ate breakfast and lunch on the balcony listening to the ocean waves and watching the couples and families enjoying the beach. What an incredible view! The location of the condo gave us easy access to restaurants; however, we usually ventured out eating at establishments elsewhere. Taxis were always at hand which made movement around Ft. Lauderdale easy. I recommend staying at Karim's condo, as our comfort was foremost in his mind!","What a relaxing week! I'm so happy with my stay at Karim's condo. It was everything I expected and more. It was clean, with an amazing view and the most ideal location. 

There is no need to rent a car when staying at this condo. All mayor shops and restaurants are within walking distance. The view alone is worth the stay. 

There is no other place I will stay in Fort Lauderdale. Thank you Karim! ",Spacious 1 bedroom unit with fantastic view and great location.Beach chairs were appreciated
"Walk to 6th, Rainey St and Convention Ctr","Great central  location for walking to Convention Center, Rainey Street, East 6th Street, Downtown, Congress Ave Bats.  Free wifiNo Smoking,  No petsThe spaceCute Private Studio apartment located in Willow Spence National Historic District.  It is  walking distance from Convention Center (3 1/2 blks) and Entertainment District. Save on cab fares.  Bus stop around the corner, takes you straight downtown.  Worried about food?  Great food abounds!  Iron works BBQ 3 blks away,  Cenote and 24 HR IHOP 2 blks away,   Rainey Street with bars and restaurants only 2 1/2 blks away , all within a safe walking distance.  Whole Foods and Target 6 blks away. The apartment is located upstairs above garage, completely separate from the main house.  This little 1930's apartment features wood floors and lots of windows.   The kitchen has a full size refrigerator, sink, granite counter-top, microwave, hotpot, toaster oven and coffee-maker.",30.26112,-97.73448,3,1,1,2,$125.00 ,The room was beautiful and just like the pictures online. The view was amazing. You get a great view of Fort Lauderdale as well as the beach. We didn't have any problems throughout our stay. I would recommend Karim's condo to all my friends. ,"We just ended a 6 night stay. Pre-travel information provided by Karim covered among others, check-in and alternative parking information (highly recommend this). The location and view was lovely, the apartment matched the view. We had one small problem with the kitchen light. Karim's local contact told us to talk to maintenance/front desk. They told us the apt is not part of their service responsibility. The point being, one might risk being thrown between the host for such minor things. We did'nt bother to take this further. It did not rob us of the overall experience, which was good.  ",emplacement de reve si vous voulez vous relaxer et profiter de la piscine et de la plage!
